0.050,-0.083,0.000, 
0.020,-0.023,0.033, 
0.132,0.142,0.067, 
0.253,0.161,0.100, 
0.110,0.131,0.134, 
0.144,0.178,0.167, 
0.359,0.327,0.201, 
0.311,0.173,0.234, 
0.221,0.319,0.268, 
0.355,0.276,0.301, 
0.288,0.306,0.334, 
0.321,0.470,0.368, 
0.426,0.473,0.401, 
0.243,0.503,0.435, 
0.296,0.582,0.468, 
0.445,0.483,0.502, 
0.434,0.578,0.535, 
0.600,0.507,0.569, 
0.511,0.599,0.602, 
0.494,0.581,0.635, 
0.816,0.630,0.669, 
0.680,0.706,0.702, 
0.743,0.589,0.736, 
0.627,0.905,0.769, 
0.748,0.619,0.803, 
0.847,0.621,0.836, 
0.755,0.880,0.870, 
0.940,0.864,0.903, 
0.876,0.868,0.936, 
0.941,0.888,0.970, 
0.943,0.842,1.003, 
1.222,0.771,1.037, 
1.069,0.885,1.070, 
0.998,0.825,1.104, 
1.219,1.005,1.137, 
1.049,0.906,1.171, 
1.225,0.851,1.204, 
1.041,0.913,1.237, 
1.138,0.997,1.271, 
1.324,0.908,1.304, 
1.412,0.891,1.338, 
1.388,1.005,1.371, 
1.393,1.011,1.405, 
1.408,0.941,1.438, 
1.324,0.948,1.472, 
1.433,1.021,1.505, 
1.492,0.855,1.538, 
1.678,0.859,1.572, 
1.640,0.928,1.605, 
1.462,0.976,1.639, 
1.704,1.026,1.672, 
1.668,1.138,1.706, 
1.672,1.072,1.739, 
1.834,0.964,1.773, 
1.909,0.971,1.806, 
1.933,0.864,1.839, 
1.789,0.953,1.873, 
1.875,0.915,1.906, 
1.973,0.965,1.940, 
2.071,0.837,1.973, 
1.958,0.958,2.007, 
2.022,1.045,2.040, 
1.964,0.865,2.074, 
1.988,0.900,2.107, 
2.222,0.911,2.140, 
2.309,0.783,2.174, 
2.200,0.827,2.207, 
2.341,0.785,2.241, 
2.310,0.772,2.274, 
2.244,0.663,2.308, 
2.378,0.720,2.341, 
2.529,0.744,2.375, 
2.405,0.815,2.408, 
2.598,0.740,2.441, 
2.213,0.834,2.475, 
2.590,0.515,2.508, 
2.550,0.652,2.542, 
2.546,0.555,2.575, 
2.619,0.727,2.609, 
2.444,0.398,2.642, 
2.654,0.365,2.676, 
2.745,0.359,2.709, 
2.890,0.176,2.742, 
2.724,0.305,2.776, 
2.728,0.250,2.809, 
2.794,0.309,2.843, 
2.968,0.296,2.876, 
2.943,0.417,2.910, 
2.890,0.292,2.943, 
3.028,0.107,2.977, 
3.019,0.041,3.010, 
3.140,0.147,3.043, 
3.006,-0.067,3.077, 
3.079,0.214,3.110, 
3.105,0.116,3.144, 
3.031,-0.083,3.177, 
3.241,-0.240,3.211, 
3.270,0.033,3.244, 
3.278,-0.147,3.278, 
3.287,-0.045,3.311, 
3.202,-0.361,3.344, 
3.335,-0.294,3.378, 
3.378,-0.266,3.411, 
3.365,-0.294,3.445, 
3.462,-0.375,3.478, 
3.552,-0.299,3.512, 
3.734,-0.499,3.545, 
3.596,-0.437,3.579, 
3.637,-0.441,3.612, 
3.637,-0.431,3.645, 
3.488,-0.441,3.679, 
3.710,-0.653,3.712, 
3.752,-0.722,3.746, 
4.026,-0.468,3.779, 
3.793,-0.589,3.813, 
3.876,-0.723,3.846, 
3.875,-0.518,3.880, 
3.795,-0.686,3.913, 
4.062,-0.603,3.946, 
4.056,-0.737,3.980, 
4.091,-0.559,4.013, 
3.956,-0.611,4.047, 
4.222,-0.832,4.080, 
3.973,-0.729,4.114, 
4.207,-0.780,4.147, 
4.399,-0.725,4.181, 
4.116,-0.975,4.214, 
4.189,-0.825,4.247, 
4.291,-0.803,4.281, 
4.262,-1.098,4.314, 
4.193,-1.053,4.348, 
4.390,-1.150,4.381, 
4.308,-0.983,4.415, 
4.497,-0.894,4.448, 
4.389,-0.823,4.482, 
4.671,-0.973,4.515, 
4.469,-0.824,4.548, 
4.550,-1.130,4.582, 
4.699,-1.166,4.615, 
4.525,-1.004,4.649, 
4.706,-0.961,4.682, 
4.846,-1.003,4.716, 
4.589,-1.206,4.749, 
4.800,-1.006,4.783, 
4.842,-1.125,4.816, 
4.926,-0.924,4.849, 
4.759,-0.949,4.883, 
4.786,-1.073,4.916, 
5.001,-1.023,4.950, 
5.014,-1.069,4.983, 
5.041,-0.960,5.017, 
5.085,-0.848,5.050, 
5.014,-1.030,5.084, 
5.140,-0.869,5.117, 
5.182,-0.959,5.151, 
5.112,-0.970,5.184, 
5.405,-0.886,5.217, 
5.297,-0.962,5.251, 
5.166,-0.896,5.284, 
5.382,-0.942,5.318, 
5.254,-0.606,5.351, 
5.462,-0.779,5.385, 
5.534,-0.831,5.418, 
5.371,-0.718,5.452, 
5.581,-0.727,5.485, 
5.561,-0.714,5.518, 
5.633,-0.606,5.552, 
5.776,-0.567,5.585, 
5.593,-0.670,5.619, 
5.577,-0.648,5.652, 
5.599,-0.590,5.686, 
5.637,-0.765,5.719, 
5.746,-0.658,5.753, 
5.819,-0.340,5.786, 
5.848,-0.283,5.819, 
5.934,-0.442,5.853, 
5.888,-0.329,5.886, 
6.063,-0.324,5.920, 
5.927,-0.016,5.953, 
6.260,-0.180,5.987, 
6.082,-0.273,6.020, 
5.969,-0.323,6.054, 
5.979,-0.356,6.087, 
6.169,-0.142,6.120, 
6.130,-0.205,6.154, 
6.259,-0.238,6.187, 
6.270,-0.127,6.221, 
6.247,-0.137,6.254, 
6.204,0.173,6.288, 
6.169,0.126,6.321, 
6.311,0.070,6.355, 
6.472,0.253,6.388, 
6.443,0.146,6.421, 
6.329,0.085,6.455, 
6.506,0.356,6.488, 
6.562,0.290,6.522, 
6.466,0.165,6.555, 
6.605,0.282,6.589, 
6.627,0.245,6.622, 
6.542,0.226,6.656, 
6.723,0.487,6.689, 
6.779,0.616,6.722, 
6.862,0.315,6.756, 
6.894,0.541,6.789, 
6.686,0.449,6.823, 
6.762,0.493,6.856, 
6.942,0.511,6.890, 
6.973,0.511,6.923, 
7.009,0.628,6.957, 
7.374,0.566,6.990, 
7.081,0.702,7.023, 
7.172,0.694,7.057, 
7.185,0.698,7.090, 
7.190,0.654,7.124, 
7.125,0.709,7.157, 
7.267,0.863,7.191, 
7.145,0.858,7.224, 
7.234,0.730,7.258, 
7.241,0.856,7.291, 
7.332,0.938,7.324, 
7.591,0.712,7.358, 
7.204,0.949,7.391, 
7.494,0.843,7.425, 
7.296,0.980,7.458, 
7.445,0.859,7.492, 
7.632,0.766,7.525, 
7.565,0.794,7.559, 
7.486,0.971,7.592, 
7.553,1.000,7.625, 
7.728,0.891,7.659, 
7.618,1.051,7.692, 
7.748,0.826,7.726, 
7.762,0.989,7.759, 
7.728,0.877,7.793, 
8.039,0.934,7.826, 
7.923,1.005,7.860, 
7.692,0.913,7.893, 
7.944,0.959,7.926, 
7.895,1.095,7.960, 
8.077,0.933,7.993, 
7.944,1.069,8.027, 
8.051,0.866,8.060, 
8.144,1.024,8.094, 
8.212,1.107,8.127, 
8.044,0.706,8.161, 
8.162,0.863,8.194, 
8.179,0.989,8.227, 
8.192,0.898,8.261, 
8.473,0.942,8.294, 
8.369,0.829,8.328, 
8.233,0.883,8.361, 
8.490,0.842,8.395, 
8.642,0.956,8.428, 
8.564,0.846,8.462, 
8.340,0.835,8.495, 
8.483,0.740,8.528, 
8.689,0.711,8.562, 
8.523,0.694,8.595, 
8.669,0.754,8.629, 
8.742,0.649,8.662, 
8.603,0.695,8.696, 
8.721,0.848,8.729, 
8.441,0.702,8.763, 
8.694,0.556,8.796, 
8.803,0.681,8.829, 
8.735,0.492,8.863, 
9.062,0.300,8.896, 
8.787,0.374,8.930, 
8.917,0.258,8.963, 
9.013,0.380,8.997, 
9.175,0.386,9.030, 
8.919,0.521,9.064, 
9.210,0.355,9.097, 
9.134,0.268,9.130, 
9.066,0.341,9.164, 
9.242,0.004,9.197, 
9.254,0.216,9.231, 
9.206,0.237,9.264, 
9.304,-0.021,9.298, 
9.290,0.208,9.331, 
9.379,0.094,9.365, 
9.465,-0.015,9.398, 
9.588,0.057,9.431, 
9.345,0.187,9.465, 
9.713,-0.055,9.498, 
9.336,-0.082,9.532, 
9.547,-0.186,9.565, 
9.660,-0.258,9.599, 
9.661,-0.123,9.632, 
9.602,-0.324,9.666, 
9.675,-0.264,9.699, 
9.685,-0.351,9.732, 
9.707,-0.287,9.766, 
9.882,-0.332,9.799, 
9.872,-0.293,9.833, 
9.798,-0.478,9.866, 
9.988,-0.484,9.900, 
9.960,-0.585,9.933, 
10.050,-0.560,9.967, 
10.063,-0.506,10.000, 
